Model,Firmware Version,Link
,,
OPPO K12x 5G,CPH2667export_11_14.0.1.736EX01_2024082019100000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/26/20749502f4cd45179ca8df3d23c9a152.zip
OPPO K12x 5G,CPH2667export_11_14.0.1.730EX01_2024070611160000,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/25/c03a328e68004a24854fbd73ec6ef799.zip
OPPO K10 5G,CPH2337export_11_14.0.0.630EX01_2024080219100000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/27/7d9b5a14f44c4af49073c6a90906d21a.zip
OPPO A77 5G,CPH2337export_11_14.0.0.610EX01_2024052719240087,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/21/451c21f0750242dc8f6d2ec902199b54.zip
OPPO F9,CPH1823EX_11.F.19_2190_221110,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/07/33b06e4c36394383946a76aca92d7b0a.zip
OPPO F7,CPH1819EX_11.F.27_2270_210409,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/07/d2cb93f9cc7246589f3db1cad90adacf.zip
OPPO F5 Youth,CPH1725_11_A.44_200708,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/07/32bc1aa54adc43d6928bb67883dd3249.rar
OPPO F5,17031_11_A.44_200708,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/07/6749f383fb964ddaaea6df59e1294317.rar
OPPO F3,CPH1609EX_11_A.33_210809,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/07/1d84cb533c1647f3a5d27dc0e0f7c9c6.zip
OPPO F23 5G,CPH2527export_11_14.0.0.900EX01_2024070219140098,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/25/4908ac2ee5b2442abeec6d6c3258f1f5.zip
OPPO F23 5G,CPH2527export_11_14.0.0.700EX01_2024042717230000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/30/187728bb1bfa42afb747f9e938c63a34.zip
OPPO F21s Pro 5G,CPH2455export_11_14.0.0.910EX01_2024071217500104,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/02/9fdbe80c80ec4612bc750638d8b5e6f5.zip
OPPO F21s Pro 5G,CPH2455export_11_14.0.0.700EX01_2024050721140080,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/19/4333665ef94a47f0ae819c14840926dd.zip
OPPO F21s Pro,CPH2461export_11_14.0.0.710EX01_2024062815330098,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/29/a6409cae75c64525b92c8a217d0e9e04
OPPO F21s Pro,CPH2461export_11_14.0.0.700EX01_2024042810400000,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/19/87307ff3f04a49819a9c7502d908a950.zip
OPPO F21 Pro 5G,CPH2341export_11_F.57_2024062815490089,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/24/75aa6699ef6649b6b9a30075b1b5d143.zip
OPPO F21 Pro 5G,CPH2341export_11_F.55_2024043014500098,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/27/c2c191f54ab4408e8ea1bae490781f20.zip
OPPO F21 Pro,CPH2363export_11_14.0.0.710EX01_2024062423530000,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/26/d2d87f10977445a0b53fa44aa069f5a8.zip
