营销名Marketing name,项目代码 、Project No.,机型名 Model,版本号Version NO.,适用范围/Region,链接、link
realme C71,24768,RMX5303,RMX5303GDPR_15_C.09_2025060123143300.zip,"GB,BA,DE,BE,CH,PT,IE,SI,SE,FI,PL,GR,CZ,IT,MK,BG,HU,RO,HR,ES,FR,AT,RS,NL,SK,LU,CY",https://rms01.realme.net/sw/RMX5303GDPR_15_C.09_2025060123143300.zip
realme C71,24760/24761/24768,RMX5303,RMX5303export_15_C.09_2025053001493200.zip,"EG,KE,MA,ZA,NG,UG,IQ,PY,MX,BR,CO,RU,KZ,AZ,GE,UA,BY,UZ,LK,MY,MM,PH,SG,TH,VN,KH,PK,BD,AM,AR",https://rms01.realme.net/sw/RMX5303export_15_C.09_2025053001493200.zip
realme C71,24768,RMX5303,RMX5303export_15_C.06_2025052318171300.zip,ID,https://rms01.realme.net/sw/RMX5303export_15_C.06_2025052318171300.zip
realme C71,24760/24761/24768,RMX5303,RMX5303export_15_A.40_2025050816574500.zip,MX,https://rms01.realme.net/sw/RMX5303export_15_A.40_2025050816574500.zip
realme GT 7T,24720,RMX5085,RMX5085GDPR_11_15.0.0.817%28EX01%29_2025052706140000.zip,EU,https://rms01.realme.net/sw/RMX5085GDPR_11_15.0.0.817%28EX01%29_2025052706140000.zip
realme GT 7T,24720,RMX5085,RMX5085export_11_15.0.0.817EX01_2025052706130300.zip,NP SG TH IN ID MY,https://rms01.realme.net/sw/RMX5085export_11_15.0.0.817EX01_2025052706130300.zip
realme GT 7T,24720,RMX5085,RMX5085export_11_15.0.0.817%28EX01%29_2025052706130300.zip,NP PS RU JO HN BH UA YE BO LY SA QA UG MA SG DZ BY KE ID GE EC OM IL AE UZ IN IQ CL MX AM CO MY KW KZ CR TH PE LB PH AZ TN,https://rms01.realme.net/sw/RMX5085export_11_15.0.0.817%28EX01%29_2025052706130300.zip
realme 14T 5G,24751,RMX5078,RMX5078GDPR_11_15.0.0.819%28EX01%29_2025052313090000.zip,EU,https://rms01.realme.net/sw/RMX5078GDPR_11_15.0.0.819%28EX01%29_2025052313090000.zip
realme 14T 5G,24751,RMX5078,RMX5078export_11_15.0.0.811EX01_2025041800310000.zip,"PS,HN,PY,YE,UA,LY,QA,UG,MA,DZ,ID,EC,MM,EG,IL,MY,AM,ET,ZM,VN,AZ,BD,RU,JO,BH,BO,SA,BR,SG,BY,KE,KH,OM,GE,CL,CO,KW,KZ,CR,TH,PE,LB,PH,TN,PK,LK",https://rms01.realme.net/sw/RMX5078export_11_15.0.0.811EX01_2025041800310000.zip
realme 14T 5G,24751,RMX5078,RMX5078export_11_15.0.0.811%28EX01%29_2025041800310000.zip,"BD,PS,RU,JO,HN,PY,YE,UA,BO,LY,BR,SG,MA,DZ,BY,ID,KH,EC,GE,MM,EG,IL,UZ,AF,IQ,CL,MX,CO,MY,AM,CR,KZ,ET,ZM,TH,PE,LB,PH,VN,AZ,TN,PK,LK,AE,UZ,AF,IQ,MX,MY,AM,ET,ZM,VN",https://rms01.realme.net/sw/RMX5078export_11_15.0.0.811%28EX01%29_2025041800310000.zip
realme 14T 5G,24752,RMX5078,RMX5078export_11_15.0.0.811%28EX01%29_2025041800260126.zip,"IN,NP",https://rms01.realme.net/sw/RMX5078export_11_15.0.0.811%28EX01%29_2025041800260126.zip
realme 14T 5G,24751,RMX5078,RMX5078export_11_15.0.0.616%28EX01%29_2025040717000179.zip,MX,https://rms01.realme.net/sw/RMX5078export_11_15.0.0.616%28EX01%29_2025040717000179.zip
realme 14T 5G,24782,RMX5074,RMX5074GDPR_11_15.0.0.819%28EX01%29_2025052313070000.zip,ES,https://rms01.realme.net/sw/RMX5074GDPR_11_15.0.0.819%28EX01%29_2025052313070000.zip
realme 14 5G,24744,RMX5070,RMX5070GDPR_11_15.0.0.690%28EX01%29_2025052101210180.zip,EU,https://rms01.realme.net/sw/RMX5070GDPR_11_15.0.0.690%28EX01%29_2025052101210180.zip
realme 14 5G,24744,RMX5070,RMX5070GDPR_11_15.0.0.600%28EX01%29_2025032817580160.zip,"EU,TR",https://rms01.realme.net/sw/RMX5070GDPR_11_15.0.0.600%28EX01%29_2025032817580160.zip
realme 14 5G,24744,RMX5070,RMX5070export_11_15.0.0.670EX01_2025042522290000.zip,"TW,PS,HN,PY,UA,YE,LY,QA,UG,MA,DZ.ID.EC,MM,EG,IL,AE,AF,UZ,IQ,MX,AM,MY,ET,AR,ZM,VN,NG,AZ,BD,RU,JO,BH,BO,SA,BR,SG,BY,KE,KH,OM,GE,CL,KW,CO,CR,KZ,TH,PE,PH,TN,PK,LK",https://rms01.realme.net/sw/RMX5070export_11_15.0.0.670EX01_2025042522290000.zip
realme 14 5G,24744,RMX5070,RMX5070export_11_15.0.0.660%28EX01%29_2025041515520160.zip,"DZ,EG",https://rms01.realme.net/sw/RMX5070export_11_15.0.0.660%28EX01%29_2025041515520160.zip
realme P3 5G,24718,RMX5070,RMX5070export_11_15.0.0.600EX01_2025032817080168.zip,"IN,NP",https://rms01.realme.net/sw/RMX5070export_11_15.0.0.600EX01_2025032817080168.zip
realme 14 5G,24744,RMX5070,RMX5070export_11_15.0.0.600%28EX01%29_2025032817590000.zip,"BD,RU,PS,JO,BH,LT,PY,UA,YE,BO,LY,SA,BR,QA,UG,MA,DZ,BY,KE,KH,OM,GE,MM,EG,IL,AE,UZ,AGF,IQ,CL,MX,KW,AM,KZ,ET,ZMLB,VN,PH,NG,AZ,TN,PK,PE,HN,CO,EC,CR,TH,SG,ID,MY,LK",https://rms01.realme.net/sw/RMX5070export_11_15.0.0.600%28EX01%29_2025032817590000.zip
realme GT 7,24749,RMX5061,RMX5061GDPR_11_15.0.1.545EX01_2025052621190000.zip,EU,https://rms01.realme.net/sw/RMX5061GDPR_11_15.0.1.545EX01_2025052621190000.zip
realme GT 7 Dream Edition,24749,RMX5061,RMX5061GDPR_11_15.0.1.508%28SP01EX01M001%29_2025052721130000.zip,EU,https://rms01.realme.net/sw/RMX5061GDPR_11_15.0.1.508%28SP01EX01M001%29_2025052721130000.zip
realme GT 7,24749,RMX5061,RMX5061export_11_15.0.1.545EX01_2025052621210000.zip,NP RU PS TW JO BH HN YE UA BO LY SA BR QA UG MA SG DZ BY KE ID GE EC OM EG IL AE IN UZ IQ CL MX KW MY AM CO KZ CR TH PE LB PH AZ TN,https://rms01.realme.net/sw/RMX5061export_11_15.0.1.545EX01_2025052621210000.zip
realme GT 7 Dream Edition,24749,RMX5061,RMX5061export_11_15.0.1.508%28SP01EX01M001%29_2025052721120152.zip,QA UG AE BH KE KW SA OM,https://rms01.realme.net/sw/RMX5061export_11_15.0.1.508%28SP01EX01M001%29_2025052721120152.zip
realme GT 7 Dream Edition,24749,RMX5061,RMX5061export_11_15.0.1.436%28SP01EX01M001%29_2025051314190170.zip,IN NP ID,https://rms01.realme.net/sw/RMX5061export_11_15.0.1.436%28SP01EX01M001%29_2025051314190170.zip
realme GT 7 Dream Edition,24749,RMX5061,RMX5061export_11_15.0.1.435%28SP01EX01M001%29_2025042711250000.zip,BR TW SG TH PH MX MY PS IL RU UZ JO IQ CL YE UA AM BO LY KZ MA DZ LB BY AZ TN GE,https://rms01.realme.net/sw/RMX5061export_11_15.0.1.435%28SP01EX01M001%29_2025042711250000.zip
realme 14 Pro 5G,24774,RMX5057,RMX5057GDPR_11_15.0.0.1010EX01_2025052400450000.zip,EU,https://rms01.realme.net/sw/RMX5057GDPR_11_15.0.0.1010EX01_2025052400450000.zip
realme 14 Pro 5G,24706,RMX5056,RMX5056GDPR_11_15.0.0.1010%28EX01%29_2025052400430000.zip,"EU,TR",https://rms01.realme.net/sw/RMX5056GDPR_11_15.0.0.1010%28EX01%29_2025052400430000.zip
realme 14 Pro 5G,24706,RMX5056,RMX5056export_11_15.0.0.790EX01_2025042414170000.zip,"PS,HN,LT,PY,YE,UA,LY,QA,UG,MA,DZ,EC,MM,EG,IL,AE,UZ,AF,IQ,MX,MY,AM,ET,AR,ZM,VN,AZ,NG,BD,RU,JO,BH,BO,SA,BR,SG,BY,KE,KH,OM,GE,CL,KW,CO,KZ,CR,TH,PE,LB,PH,TN,PK,LK",https://rms01.realme.net/sw/RMX5056export_11_15.0.0.790EX01_2025042414170000.zip
realme 14 Pro 5G,24706,RMX5056,RMX5056export_11_15.0.0.730EX01_2025032818160164.zip,"RU,BY",https://rms01.realme.net/sw/RMX5056export_11_15.0.0.730EX01_2025032818160164.zip
realme 14 Pro 5G,24706,RMX5056,RMX5056export_11_15.0.0.720%28EX01%29_2025032111430161.zip,"TW,PS,HN,LT,PY,UA,YE,LY,QA,UG,MA,DZ,EC,MM,EG,IL,AE,UZ,AF,IQ,MX,AM,MY,ET,AR,ZM,VN,AZ,NG,BD,RU,JO,BH,BO,SA,BR,SG,BY,KE,KH,GE,OM,CL,CO,KW,KZ,CR,TH,PE,LB,PH,TN,PK,LK",https://rms01.realme.net/sw/RMX5056export_11_15.0.0.720%28EX01%29_2025032111430161.zip
realme 14 Pro 5G,24706,RMX5056,RMX5056export_11_15.0.0.1010EX01_2025052400440000.zip,"PS,HN,LT,PY,UA,YE,LY,QA,UG,MA,DZ,EC,MM,EG,IL,AE,UZ,AF,IQ,MX,AM,MY,ET,AR,ZM,VN,AZ,NG,BD,RU,JO,BH,BO,SA,BR,SG,BY,KE,KH,GE,OM,CL,CO,KW,KZ,CR,TH,PE,LB,PH,TN,PK,LK",https://rms01.realme.net/sw/RMX5056export_11_15.0.0.1010EX01_2025052400440000.zip
realme 14 Pro 5G,24705,RMX5056,RMX5056export_11_15.0.0.1010EX01_2025052400400160.zip,IN，NP,https://rms01.realme.net/sw/RMX5056export_11_15.0.0.1010EX01_2025052400400160.zip
realme 14 Pro+ 5G,24724,RMX5054,RMX5054GDPR_11_15.0.0.940%28EX01%29_2025051519550000.zip,ES,https://rms01.realme.net/sw/RMX5054GDPR_11_15.0.0.940%28EX01%29_2025051519550000.zip
realme 14 Pro+ 5G,24724,RMX5054,RMX5054GDPR_11_15.0.0.900EX01_2025041521480152.zip,EU,https://rms01.realme.net/sw/RMX5054GDPR_11_15.0.0.900EX01_2025041521480152.zip
realme 14 Pro+ 5G,24698,RMX5051,RMX5051GDPR_11_15.0.0.940%28EX01%29_2025051519540161.zip,"EU,TR",https://rms01.realme.net/sw/RMX5051GDPR_11_15.0.0.940%28EX01%29_2025051519540161.zip
realme 14 Pro+ 5G,24697,RMX5051,RMX5051export_11_15.0.0.910EX01_2025042501410000.zip,IN，NP,https://rms01.realme.net/sw/RMX5051export_11_15.0.0.910EX01_2025042501410000.zip
realme 14 Pro+ 5G,24698,RMX5051,RMX5051export_11_15.0.0.640EX01_2025020719080191.zip,"PS,HN,LT,PY,UA,YE,LY,QA,UG,MA,DZ,ID,EC,MM,EG,IL,AE,UZ,AF,IQ,MX,AM,MY,ET,AR,ZM,VN,AZ,BD,RU,JO,BH,BD,SA,SG,BY,KE,KH,GE,OM,CL,CO,KW,KZ,CR,TH,PE,LB,PH,TN,PK,LK",https://rms01.realme.net/sw/RMX5051export_11_15.0.0.640EX01_2025020719080191.zip
realme C75x,24715,RMX5020,RMX5020export_11_15.0.0.750EX01_2025051614460000.zip,"BH,HN,LT,PY,UA,BO,SA,QA,BR,UG,KE,OM,GE,EC,IL,AE,UZ,CL,MX,AM,KW,CO,KZ,,CR,AR,PE,AZ,NG,TN",https://rms01.realme.net/sw/RMX5020export_11_15.0.0.750EX01_2025051614460000.zip
realme C75x,24714,RMX5020,RMX5020export_11_15.0.0.750EX01_2025051614440000.zip,"VN,ID",https://rms01.realme.net/sw/RMX5020export_11_15.0.0.750EX01_2025051614440000.zip
realme C75x,24713,RMX5020,RMX5020export_11_15.0.0.750EX01_2025051614430000.zip,"MM,BD,TH,SG,PH,PK,MY,KH,LK",https://rms01.realme.net/sw/RMX5020export_11_15.0.0.750EX01_2025051614430000.zip
realme C75x,24715,RMX5020,RMX5020export_11_15.0.0.700%28EX01%29_2025040313110000.zip,"IL,AE,UZ,BH,LT,PY,CL,KW,AM,UA,BO,SA,KZ,QA,BR,UG,AZ,KE,TN,OM,GE",https://rms01.realme.net/sw/RMX5020export_11_15.0.0.700%28EX01%29_2025040313110000.zip
realme C75x,24715,RMX5020,RMX5020export_11_15.0.0.300%28EX01%29_2025032118480185.zip,NG,https://rms01.realme.net/sw/RMX5020export_11_15.0.0.300%28EX01%29_2025032118480185.zip
realme C75x,24715,RMX5020,RMX5020export_11_15.0.0.210%28EX01%29_2025022804560000.zip,"QA,UG,AE,BH,KE,KW,SA,OM,BR",https://rms01.realme.net/sw/RMX5020export_11_15.0.0.210%28EX01%29_2025022804560000.zip
realme C75x,24715,RMX5020,RMX5020export_11_15.0.0.180%28EX01%29_2025021123490000.zip,PY,https://rms01.realme.net/sw/RMX5020export_11_15.0.0.180%28EX01%29_2025021123490000.zip
realme C75x,24728,RMX5020,RMX502024728export_11_15.0.0.750EX01_2025051614420162.zip,"EG,PS,AF,JO,ZA,IQ,YE,LY,ET,ZM,MA,DZ,LB,TN",https://rms01.realme.net/sw/RMX502024728export_11_15.0.0.750EX01_2025051614420162.zip
realme GT 7 Pro,24671,RMX5011,RMX5011GDPR_11_15.0.0.242EX01_2025032502040000.zip,"EU,TR",https://rms01.realme.net/sw/RMX5011GDPR_11_15.0.0.242EX01_2025032502040000.zip
realme GT7 Pro,24671,RMX5011,RMX5011export_11_15.0.0.242EX01_2025032502030242.zip,"TW,IL,RU,UZ,JO,ZA,LT,IQ,CL,PY,UA,AM,YE,BO,LY,KZ,MA,LB,BY,AZ,TN,GE,LK",https://rms01.realme.net/sw/RMX5011export_11_15.0.0.242EX01_2025032502030242.zip
realme GT7 Pro,24671,RMX5011,RMX5011export_11_15.0.0.181%28EX01%29_2025011600180220.zip,TH,https://rms01.realme.net/sw/RMX5011export_11_15.0.0.181%28EX01%29_2025011600180220.zip
realme GT7 Pro,24671,RMX5011,RMX5011export_11_15.0.0.150EX01_2024121321300000.zip,TW,https://rms01.realme.net/sw/RMX5011export_11_15.0.0.150EX01_2024121321300000.zip
realme GT 7 Pro,24670,RMX5011,RMX5011export_11_15.0.0.105EX01_2024111323320000.zip,NP,https://rms01.realme.net/sw/RMX5011export_11_15.0.0.105EX01_2024111323320000.zip
realme GT 7 Pro,24671,RMX5011,RMX5011export_11_15.0.0.102%28EX01%29_2024102200590200.zip,"TW,TH,IL,RU,UZ,JO,LT,IQ,CL,PY,AM,MY,UA,YE,BO,KZ,LY,SG,MA,LB,BY,AZ,TN,GE,LK",https://rms01.realme.net/sw/RMX5011export_11_15.0.0.102%28EX01%29_2024102200590200.zip
realme 13+ 5G,24678,RMX5000,RMX5000export_11_15.0.0.600EX01_2025042219480000.zip,"BD,RU,TW,JO,HN,PY,UA,BO,BR,MA,SG,DZ,BY,ID,KH,GE,EC,MM,EG,UZ,CL,IQ,MX,MY,AM,CO,KZ,CR,TH,PE,VN,AZ,PH,PK,TN,LK",https://rms01.realme.net/sw/RMX5000export_11_15.0.0.600EX01_2025042219480000.zip
realme 13+ 5G,24679,RMX5000,RMX5000export_11_14.1.0.1000EX01_2025022717560231.zip,"IN,NP",https://rms01.realme.net/sw/RMX5000export_11_14.1.0.1000EX01_2025022717560231.zip
realme 12 5G,23701,RMX3999,RMX3999GDPR_11_15.0.0.900EX01_2025051415080161.zip,EU,https://rms01.realme.net/sw/RMX3999GDPR_11_15.0.0.900EX01_2025051415080161.zip
realme 12 5G,23701,RMX3999,RMX3999export_11_15.0.0.900EX01_2025051415180194.zip,"TW,BH,RU,LT,HN,PY,UA,YE,BO,LY,SA,BR,QA,UG,MA,DZ,SG,ID,KE,GE,EC,OM,EG,IL,AE,UZ,AF,IQ,CL,MX,AM,KW,MY,CO,KZ,ET,CR,ZM,TH,PE,PH,AZ,NG,TN,LK",https://rms01.realme.net/sw/RMX3999export_11_15.0.0.900EX01_2025051415180194.zip
realme 12 5G,23700,RMX3999,RMX3999export_11_15.0.0.900EX01_2025051402360250.zip,NP、IN,https://rms01.realme.net/sw/RMX3999export_11_15.0.0.900EX01_2025051402360250.zip
